 Drei Frauen unterschiedlichen Alters erzählen über das „Leben mit Essstörungen“: eine junge Bulimikerin, eine Magersüchtige, die mit 30 kg in Lebensgefahr schwebte und eine 29-Jährige, die schon ihr halbes Leben hungert.	Drei Frauen unterschiedlichen Alters erzählen über das "Leben mit Essstörungen": eine junge Bulimikerin, eine Magersüchtige, die mit 30 kg in Lebensgefahr schwebte und eine 29-Jährige, die schon ihr halbes Leben hungert.	220	221
  40, umstrittener Landesvize des Journalistenverbandes (DJV) in Brandenburg, hat den DJV-Bundesvorsitzenden Michael Konken verklagt. Dies bestätigte der brandenburgische DJV-Landesvorsitzende Bernd Martin der taz.		0	221
  80, ist offenbar freigeistiger als bekannt. Jedenfalls wirbt er, wie der   berichtet, für die rechtsextreme Postille   bedeutet für mich, dass es noch unabhängige Geister in der deutschen Medienlandschaft gibt und Journalisten, die das Risiko eingehen, gegen den Strom zu schwimmen“, wird er in einem Faltblatt zitiert.	Das Faltblatt enthält eine Reihe von Artikeln über rechte Ideologien und ihre Verbreitung im Internet. Es wurde anonym veröffentlicht und kann nur online gelesen werden, da es sich um ein illegales Produkt handelt.	214	221
 Kommt die von der Bundesregierung geplante Liberalisierung des besonderen Kartellrechts für Zeitungen durch, wird der Pressekonzentration weiter Vorschub geleistet. Dabei gibt es schon heute in 299 von 443 Kreisen nur eine (Monopol-)Zeitung.	Translation: Will the planned liberalization of special cartel law for newspapers by the federal government come into effect, it will further promote media concentration?	170	221
 Eine 500 Kilogramm schwere Fliegerbombe ist gestern in Tempelhof entschärft worden. 228 Menschen mussten ihre Häuser und Wohnungen räumen, da der Zünder der Bombe noch scharf war.	The bomb weighs 500 kilograms and was disarmed yesterday at Tempelhof airport after it had been discovered that the detonator was still active.	143	221
 Im Charlottenburger Schloss wird am Sonntag die Ausstellung „Preußen 1701 – Eine europäische Geschichte“ eröffnet. Die Schau in der Großen Orangerie präsentiert Leihgaben aus europäischen Schlössern und Museen, unter anderem aus Versailles und St. Petersburg.	The exhibition "Prussia 1701 - A European History" will be opened on Sunday at Charlottenburger Schloss and is located in the Great Orangery.	141	221
 Laut dem Verband Berlin-Brandenburgischer Wohnungsunternehmen (BBU) ist der Wohnungsleerstand in Brandenburg stark angestiegen. Bei den Mitgliedsunternehmen hätten sich die leer stehenden Wohnungen in den letzten fünf Jahren auf 53.800 verdreifacht.		0	221
 Mit Tempo 139 ist ein Autofahrer auf der Bundesallee in eine Radarfalle der Polizei gerast. Erlaubt waren 50 Stundenkilometer.	Was macht sich jetzt die Polizei?	33	221
 Die Berliner CDU sieht in der fehlenden Teilnahme muslimischer Schüler am Biologie- und Sexualkundeunterricht eine Bedrohung der Integration. Der freiwillige Islamunterricht an Schulen blockiere eine Eingliederung in die „aufgeklärte Gesellschaft“, erklärte der jugendpolitische Sprecher der CDU-Fraktion im Abgeordnetenhaus, Sascha Steuer, am Freitag.	Die Berliner CDU siegt sich mit den Aussagen von Sascha Steuer an und fordert eine „Einschränkung“ des Islamunterrichts in Schulen. The Berlin CDU sees the lack of participation by Muslim students in biology and sexual education as a threat to integration, according to the youth policy spokesman of the CDU faction in the state parliament, Sascha Steuer, on Friday.	366	221
 Der Berliner Gottesdienststörer Christian Arnhold ist am Freitag in den geschlossenen Vollzug in die Haftanstalt Tegel verlegt worden. Das sagte Justizsprecherin Andrea Boehnke auf Anfrage.	Das Gericht hatte Christian Arnhold wegen Verstoßes gegen das Betäubungsmittelgesetz angeklagt und zum Freitag, den 17. Februar 2023, verurteilt. Der Prozess war am Montag, dem 6.	179	221
